"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"1","mG","eykakšt",NA,NA,NA,"UR3","erina_erzya_2015",""
"2","mB","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"3","mZ","patʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"4","myB","yalaks",NA,NA,NA,"UR3","erina_erzya_2015",""
"5","myZ","sazor̃",NA,NA,NA,"UR3","erina_erzya_2015",""
"6","mF","tʸetʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"7","mM","ava",NA,NA,NA,"UR3","erina_erzya_2015",""
"8","mC","eykakš",NA,NA,NA,"UR3","erina_erzya_2015",""
"9","mS","c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015",""
"10","mD","tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015",""
"11","mFF","bodʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"12","mFF","pokštʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"13","mFM","sɨr̃ʸe baba",NA,NA,NA,"UR3","erina_erzya_2015",""
"14","mMF","bodʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"15","mMF","pokštʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"16","mMM","sɨr̃ʸe baba",NA,NA,NA,"UR3","erina_erzya_2015",""
"17","mSS","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"18","mSD","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"19","mDS","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"20","mDD","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"21","mFB","lʸelʸax",NA,NA,NA,"UR3","erina_erzya_2015",""
"22","mFZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015",""
"23","mMB","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"24","mMZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015",""
"25","mBS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015",""
"26","mBD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015",""
"27","mZS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015",""
"28","mZD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015",""
"29","mFZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"30","mFBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"31","mMBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"32","mMZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"33","mFBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"34","mFZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"35","mMBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"36","mMZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"37","mH","mir̃ʸdʸe",NA,NA,NA,"UR3","erina_erzya_2015",""
"38","mW","nʸi",NA,NA,NA,"UR3","erina_erzya_2015",""
"39","mHF","atʸavt",NA,NA,NA,"UR3","erina_erzya_2015",""
"40","mHM","avavt",NA,NA,NA,"UR3","erina_erzya_2015",""
