"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"1","mG","čoya-voka",NA,NA,NA,"UR11","turkin_komi_2015",""
"2","mB","vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"3","mZ","čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"4","myB","ičötdžɩk vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"5","myZ","ičötdžɩk čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"6","mF","batʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"7","mF","ay",NA,NA,NA,"UR11","turkin_komi_2015",""
"8","mM","mam",NA,NA,NA,"UR11","turkin_komi_2015",""
"9","mC","yɩlöm",NA,NA,NA,"UR11","turkin_komi_2015",""
"10","mS","pi",NA,NA,NA,"UR11","turkin_komi_2015",""
"11","mD","nɩv",NA,NA,NA,"UR11","turkin_komi_2015",""
"12","mFF","ɩdžɩd ay",NA,NA,NA,"UR11","turkin_komi_2015",""
"13","mFF","pölʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"14","mFM","pöč",NA,NA,NA,"UR11","turkin_komi_2015",""
"15","mFM","ɩdžɩd mam",NA,NA,NA,"UR11","turkin_komi_2015",""
"16","mMF","ɩdžɩd ay",NA,NA,NA,"UR11","turkin_komi_2015",""
"17","mMF","pölʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"18","mMM","pöč",NA,NA,NA,"UR11","turkin_komi_2015",""
"19","mMM","ɩdžɩd mam",NA,NA,NA,"UR11","turkin_komi_2015",""
"20","mSS","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"21","mSS","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"22","mSD","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"23","mSD","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"24","mDS","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"25","mDS","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"26","mDD","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"27","mDD","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"28","mFB","dyadʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"29","mFZ","ob",NA,NA,NA,"UR11","turkin_komi_2015",""
"30","mMB","čož",NA,NA,NA,"UR11","turkin_komi_2015",""
"31","mMZ","ičinʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
