parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,,,,,,,
mB,brat,,,,,Mészáros_2001,
mZ,patʹat-sazort,,,,,Mészáros_2001,
meB,lʹelʹa,,,,,Mészáros_2001,
myB,jalaks,,,,,Mészáros_2001,
myB,duga,,,,,Mészáros_2001,
meZ,patʹa,,,,,Mészáros_2001,
myZ,sazor,,,,,Mészáros_2001,
mP,tʹetʹat-avat,,,,,Mészáros_2001,
mF,tʹetʹa,,,,,Mészáros_2001,
mM,ava,,,,,Mészáros_2001,
mC,ejkakš,,,,,Mészáros_2001,
mC,ejdʹe,,,,,Mészáros_2001,
mC,kaka,,,,,Mészáros_2001,
mC,pakša,,,,,Mészáros_2001,
mC,tʹaka,,,,,Mészáros_2001,
mS,ćora,,,,,Mészáros_2001,
mD,tʹejtʹeŕ,,,,,Mészáros_2001,
mA,,,,,,,
mPP,pokštʹat-babat,,,,,Mészáros_2001,
mFF,atʹa,,,,,Mészáros_2001,
mFF,pokštʹa,,,,,Mészáros_2001,
mFF,bodʹa,,,,,Mészáros_2001,
mFF,dʹeda,,,,,Mészáros_2001,
mFF,siŕe atʹa,,,,,Mészáros_2001,
mFM,siŕkaj,,,,,Mészáros_2001,
mFM,baba,,,,,Mészáros_2001,
mMF,vasolpokštʹa,,,,,Mészáros_2001,
mMF,vasolbodʹa,,,,,Mészáros_2001,
mMF,vasoldʹeda,,,,,Mészáros_2001,
mMF,večka dʹeda,,,,,Mészáros_2001,
mMM,vasolbaba,,,,,Mészáros_2001,
mMM,večka baba,,,,,Mészáros_2001,
mMM,mazibaba,,,,,Mészáros_2001,
mMM,avka,,,,,Mészáros_2001,
mCC,nuka,,,,,Mészáros_2001,
mCC,nućka,,,,,Mészáros_2001,
mCC,bujo,,,,,Mészáros_2001,
mCC,ejkakšoń ejkakš,,,,,Mészáros_2001,
mSS,ćorań ćora,,,,,Mészáros_2001,
mSD,ćorań tʹejtʹeŕ,,,,,Mészáros_2001,
mDS,tʹejtʹeŕeń ćora,,,,,Mészáros_2001,
mDD,tʹejtʹeŕeń tʹejtʹeŕ,,,,,Mészáros_2001,
mFB,lʹelʹa,,,,,Mészáros_2001,
mFB,od dʹeda,,,,,Mészáros_2001,
mFZ,patʹa,,,,,Mészáros_2001,
mMB,lʹelʹa,,,,,Mészáros_2001,
mMZ,patʹa,,,,,Mészáros_2001,
mFeB,,,,,,,
mFyB,vežeńś alʹka,,,,,Mészáros_2001,
mFeZ,pokš patʹa,,,,,Mészáros_2001,
mFeZ,siŕe patʹa,,,,,Mészáros_2001,
mFyZ,,,,,,,
mMeZ,siŕkaj,,,,,Mészáros_2001,
mMeZ,siŕe patʹa,,,,,Mészáros_2001,
mMyZ,,,,,,,
mMeB,,,,,,,
mMyB,,,,,,,
mBS,plʹlemjańńik,,,,,Mészáros_2001,
mBD,plʹlemjańńica,,,,,Mészáros_2001,
mZS,plʹlemjańńik,,,,,Mészáros_2001,
mZD,plʹlemjańńica,,,,,Mészáros_2001,
meBS,lʹelʹań ćora,,,,,Mészáros_2001,
myBS,jalaksoń ćora,,,,,Mészáros_2001,
meBD,lʹelʹań tʹejtʹeŕ,,,,,Mészáros_2001,
myBD,jalaksoń tʹejtʹeŕ,,,,,Mészáros_2001,
meZS,patʹań ćora,,,,,Mészáros_2001,
myZS,sazoroń ćora,,,,,Mészáros_2001,
meZD,patʹań tʹejtʹeŕ,,,,,Mészáros_2001,
myZD,sazoroń tʹejtʹeŕ,,,,,Mészáros_2001,
mFZD,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mFBD,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mMBD,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mMZD,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mFBS,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mFZS,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mMBS,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mMZS,kavto śedʹej pelʹks,,,,,Mészáros_2001,
mFeBS,,,,,,,
mFyBS,,,,,,,
mFeZS,,,,,,,
mFyZS,,,,,,,
mFeBD,,,,,,,
mFyBD,,,,,,,
mFeZD,,,,,,,
mFyZD,,,,,,,
mMeBS,,,,,,,
mMyBS,,,,,,,
mMeZS,,,,,,,
mMyZS,,,,,,,
mMeBD,,,,,,,
mMyBD,,,,,,,
mMeZD,,,,,,,
mMyZD,,,,,,,
mFBeS,,,,,,,
mFByS,,,,,,,
mFZeS,,,,,,,
mFZyS,,,,,,,
mFBeD,,,,,,,
mFByD,,,,,,,
mFZeD,,,,,,,
mFZyD,,,,,,,
mMBeS,,,,,,,
mMByS,,,,,,,
mMZeS,,,,,,,
mMZyS,,,,,,,
mMBeD,,,,,,,
mMByD,,,,,,,
mMZeD,,,,,,,
mMZyD,,,,,,,
mE,pola,,,,,Mészáros_2001,
mE,vasta,,,,,Mészáros_2001,
mH,,,,,,,
mW,ńi,,,,,Mészáros_2001,
mW,koźajka,,,,,Mészáros_2001,
mHF,,,,,,,
mHM,,,,,,,
mWF,vata,,,,,Mészáros_2001,
mWM,ńizańa,,,,,Mészáros_2001,
mWM,toštʹa baba,,,,,Mészáros_2001,
mWM,tʹošča,,,,,Mészáros_2001,
mWM,mačka,,,,,Mészáros_2001,
mBW,,,,,,,
meBW,uŕaž,,,,,Mészáros_2001,
meBW,pokš uŕva,,,,,Mészáros_2001,
myBW,peńeŕva,,,,,Mészáros_2001,
myBW,od uŕa,,,,,Mészáros_2001,
mZH,,,,,,,
meZH,čiče,,,,,Mészáros_2001,
meZH,čičalʹa,,,,,Mészáros_2001,
meZH,ezna,,,,,Mészáros_2001,
mWB,šurin,,,,,Mészáros_2001,
mWeB,alʹa,,,,,Mészáros_2001,
mWyB,balʹźa,,,,,Mészáros_2001,
mWZ,balduz,,,,,Mészáros_2001,
mWeZ,svojačeńica,,,,,Mészáros_2001,
mHB,,,,,,,
mHZ,,,,,,,
mco-W,,,,,,,
mco-H,,,,,,,
